Order_all,Family_all,Genus_all,Species_all,subspecies,species_geonet,sex_or_flower_type,breeding_system,autonomous_selfing_level,compatibility,compatibility_genus,info_level,asexual_reproduction,asexual_reproduction_type,agamospermy/apomixis (yes/no),flower_colour ,flower_morphology,flower_pollinator_morphology,flower_symmetry,corolla_diameter_mean_mm,corolla_diameter_min_mm,corolla_diameter_max_mm,corolla_length_mean_mm,corolla_length_min_mm,corolla_length_max_mm,tube_length_mm,life_form,lifespan,plant_height_min_m,plant_height_max_m,plant_height_mean_m,references,reference_journal,doi,doi,doi,doi,doi,type_of_proxy_seed _or_fruit,open_pollination_percentage,open_pollination_n,hand_poll_outcrossing_percentage,hand_poll_outcrossing_percentage_n,hand_poll_self_percentage,hand_poll_self_n,spontaneus_selfing_percentage,spontaneus_selfing_n,geitonogamy_percentage,geitonogamy_n,apomixis_percentage,apomixis_n,intramorph_percentage,intramorph_n,stamen_length_mm,stamen_length_min_mm,stamen_length_max_mm,style_length_mm,style_length_min_mm,style_length_max_mm,ovary_length_mm,ovary_min_mm,ovary_max_mm,stigma_length_mm,stigma_min_mm,stigma_max_mm,pistil_length_mm,pistil_min_mm,pistil_max_mm,inflorescence_form,inflorescence_arrangement,inflorescence_length_mm,inflorescence_width_mm,inflorescence_comment,pollen_anther_mean,pollen_anther_sd,pollen_anther_n,pollen_flower_mean,pollen_flower_sd,pollen_flower_n,pollen_ovule_ratio,ovules_mean,ovules_sd,ovules_n,stamen_mean,anthers_exerted_yes_or_no,anthers_exerted_mm,pistil_mean,stigma_mean,stigma_exerted_yes_or_no,stigma_exerted_mm,flowers_inflorescences_min,flowers_inflorescences_max,flowers_inflorescences_mean,inflorescences_plant_min,inflorescences_plant_max,inflorescences_plant_mean,flower_plant_min,flower_plant_max,flower_plant_mean,flower_lifespan_days,flowering_time_days,nectar_yes_or_no,nectar_ul_day_mean,nectar_ul_day_sd,nectar_ul_day_n,total_nectar_ul_mean,total_nectar_ul_sd,total_nectar_ul_n,sugar_nectar_mg_mean,sugar_nectar_mg_sd,sugar_nectar_mg_n,sugar_concentration_mean,sugar_concentration_sd,sugar_concentration_n,fruit_type,fruit_colour,fruit_length_mm,fruit_width_mm,pollen_polar_length_um_mean,pollen_polar_length_um_min,pollen_polar_length_um_max,pollen_equatorial_length_mean_um ,pollen_equatorial_length_min_um,pollen_equatorial_length_max_um,pollen_polar_equatorial,mean_pollen_tube_growth_um_min,chromosome number,ploidy,location,country,references,reference_journal,doi,doi,doi,doi,doi,
Sapindales,Fabaceae,Rhynchosia,Rhynchosia minima,NA,Rhynchosia minima,bisexual,hermaphrodite,,self_compatible,NA,flower,,NA,,yellow,papilionaceous,papilionaceous,zygomorphic,4.5,NA,NA,1.4,NA,NA,,herb,perennial,0.1,1,0.55,NA,online: australian tropical rainforest plants,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,NA,online: australian tropical rainforest plants,,,,,,
Fabales,Loasaceae,Mentzelia,Mentzelia aspera,NA,Mentzelia aspera,bisexual,hermaphrodite,,NA,NA,flower,,NA,,yellow,bowl,bowl,actinomorphic,15,NA,NA,5,NA,NA,NA,herb,annual,0.2,0.75,0.5,NA,online: flora of north america,,,,,,NA,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,NA,online: flora of north america,,,,,,
Cornales,Rhamnaceae,Scutia,Scutia spicata,NA,Scutia spicata,bisexual,hermaphrodite,,self_compatible,NA,flower,,NA,,green,bowl,bowl,actinomorphic,3,NA,NA,0.5,NA,NA,NA,shrub,perennial,0.5,2.5,1.5,"mcmullen, chamorro et al., 2012",book: flowering plants of the galapagos; journal: annals of botany,https://doi.org/10.1093/aob/mcs132 ,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,yes,NA,,,,,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,"mcmullen, chamorro et al., 2012",book: flowering plants of the galapagos; annals of botany,https://doi.org/10.1093/aob/mcs132 ,,,,,
Rosales,Fabaceae,Senna,Senna pistaciifolia,NA,Senna pistacifolia,bisexual,hermaphrodite,,NA,NA,flower,,NA,,yellow,papilionaceous,campanulate,zygomorphic,20,NA,NA,20,NA,NA,NA,herb,perennial,0.5,2,1,NA,online: new york botanical garden,NA,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,no,NA,,,no,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,NA,online: new york botanical garden,NA,,,,,
Fabales,Amaranthaceae,Alternanthera,Alternanthera echinocephala,NA,Alternanthera echinocephala,bisexual,hermaphrodite,,self_compatible,NA,flower,,NA,,greenish white,campanulate,campanulate,actinomorphic,10,NA,NA,8,NA,NA,NA,shrub,perennial,0.5,2,1,mcmullen 1987,online: SEINet; WikiVisually; journal: american journal of botany,NA,NA,https://doi.org/10.2307/2444139 ,,,fruit,1,96,0,56,3.8,52,1.5,135,NA,NA,0,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,NA,NA,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,mcmullen 1987,online: SEINet; WikiVisually; american journal of botany,NA,NA,https://doi.org/10.2307/2444139 ,,,
Caryophyllales,Boraginaceae,Tournefortia,Tournefortia rufo-sericea,NA,Tournefortia rufo-sericea,bisexual,hermaphrodite,,self_compatible,NA,flower,yes,NA,,white,tube,tube,actinomorphic,4,NA,NA,5,1,NA,NA,shrub,perennial,1,2,1.5,mcmullen 1987; mcmullen 2007,journal: american journal of botany; journal: botanical journal of the linnean society,https://doi.org/10.2307/2444139 ,https://doi.org/10.1111/j.1095-8339.2007.00590.x ,,,,fruit,79.2,936,NA,NA,59.4,485,55.9,816,NA,NA,11.6,335,,,,,,,,,,,,,,,,,,,,,,,,,,19888,NA,NA,4972,4,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,19.2,22.8,21,19.2,22.8,1,,,,galapagos,ecuador,mcmullen 1987; mcmullen 2007,american journal of botany; botanical journal of the linnean society,https://doi.org/10.2307/2444139 ,https://doi.org/10.1111/j.1095-8339.2007.00590.x ,,,,
Boraginales,Portulacaceae,Portulaca,Portulaca oleracea,NA,Portulaca oleracea,bisexual,hermaphrodite,,self_compatible,NA,flower,,NA,,yellow,bowl,bowl,actinomorphic,6,3,9,2,NA,NA,NA,succulent,annual,0.01,0.1,0.05,,online: go botany newenglandwild,,,,,,fruit,100,121,NA,NA,100,76,100,86,NA,NA,NA,NA,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,,online: go botany newenglandwild,,,,,,
Caryophyllales,Asteraceae,Macraea,Macraea laricifolia,NA,Macraea laricifolia,bisexual,hermaphrodite,,NA,NA,flower,,NA,,yellow,campanulate,bowl,actinomorphic,9,capitulum,capitulum,4,capitulum,capitulum,,shrub,perennial,1,3,2,online: the global pollen project; mcmullen,book: flowering plants of the galapagos,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.96,NA,NA,17.96,NA,NA,1,,,,galapagos,ecuador,online: the global pollen project; mcmullen,book: flowering plants of the galapagos,,,,,,
Asterales,Asteraceae,Pectis,Pectis tenuifolia,NA,Pectis tenuifolia,bisexual,hermaphrodite,,NA,NA,flower,,NA,,yellow,bowl,bowl,actinomorphic,6.5,capitulum,capitulum,3,capitulum,capitulum,NA,herb,perennial,0.05,0.15,0.1,mcmullen,book: flowering plants of the galapagos,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,mcmullen,book: flowering plants of the galapagos,,,,,,
Asterales,Anisophylleaceae,Momordica,Momordica charantia,NA,Momordica charantia,separated,monoecious,,NA,NA,flower,,NA,,yellow,bowl,bowl,actinomorphic,32,NA,NA,10,NA,NA,NA,herb,annual,1,3,2,poyraz & derdovski 2006; deyto & cervancia 2009,journal: journal of science and technology; journal: philippine agricultural scientist ,https://doi.org/10.18036/btdc.68664 ,NA,,,,fruit,78,6,80,6,NA,NA,NA,NA,NA,NA,NA,NA,,,4,NA,NA,,,,34,NA,NA,,,,5,NA,NA,,,,,,,,,9296,623,,,3,NA,NA,5,,,,6,,,,,,,,,NA,NA,40,,90,,,,,,,,,,,,,,,,,,80,NA,NA,80,NA,NA,1,,,,galapagos,ecuador,poyraz & derdovski 2006; deyto & cervancia 2009,journal of science and technology; philippine agricultural scientist 2009,https://doi.org/10.18036/btdc.68664 ,NA,,,,
Cucurbitales,Nyctaginaceae,Boerhaavia,Boerhaavia erecta,NA,Boerhaavia erecta,bisexual,hermaphrodite,,self_compatible,NA,flower,,NA,,white to pink,campanulate,campanulate,actinomorphic,2,1,3,2,NA,NA,NA,herb,annual,0.1,1,0.5,"online: prota4u; dos santos et al., 2008",congress: v congresso de iniciação científica da universidade federal de campina grande,,,,,,NA,,,,,,,,,,,,,,,2,NA,NA,2,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,2,yes,NA,,,yes,NA,1,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2n=52,diploid,galapagos,ecuador,"online: prota4u; dos santos et al., 2008",V congresso de iniciação científica da universidade federal de campina grande,,,,,,
Caryophyllales,Boraginaceae,Heliotropium,Heliotropium angiospermum,NA,Heliotropium angiospermum,bisexual,hermaphrodite,,partially_self_incompatible,NA,flower,,NA,,white,tube,tube,actinomorphic,5,NA,NA,5.5,4,7,4,herb,perennial,0.15,0.3,0.23,"vieira et al., 2015; jaimes & ramirez 1999",journal: biota neotropica; journal: plant systematics and evolution,http://dx.doi.org/10.1590/1676-0611-BN-2014-0201 ,https://doi.org/10.1007/bf00984645 ,,,,fruit,NA,NA,78,23,50,20,37,54,NA,NA,NA,NA,,,,,,0.4,0.3,0.5,0.5,NA,NA,,,,,,,,,,,,,,,,,,,4,NA,NA,5,no,NA,1,1,no,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,"vieira et al., 2015; jaimes & ramirez 1999",biota neotropica; plant systematics and evolution,http://dx.doi.org/10.1590/1676-0611-BN-2014-0201 ,https://doi.org/10.1007/bf00984645 ,,,,
Boraginales,Asteraceae,Scalesia,Scalesia baurii,NA,Scalesia bauri,bisexual,hermaphrodite,,self_compatible,NA,capitulum,,NA,,white,campanulate,campanulate,actinomorphic,10,capitulum,capitulum,5,capitulum,capitulum,,shrub,perennial,0.5,3,1.75,jaramillo & trigo 2006,journal: galapagos research,NA,,,,,fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,NA,50,100,75,,,,,,,,,,,,,,,,,,,,,,,,,,25.75,25,26.5,25.75,24,26.5,1,,,,galapagos,ecuador,jaramillo & trigo 2006,galapagos research,NA,,,,,
Asterales,Nyctaginaceae,Cryptocarpus,Cryptocarpus pyriformis,NA,Cryptocarpus pyriformis,bisexual,hermaphrodite,,NA,NA,flower,,NA,,white green,bowl,bowl,actinomorphic,2.26,1.83,2.69,1.59,1.09,1.99,,shrub,perennial,0.3,1.2,0.75,hervias-parejo & traveset 2018,journal: american journal of botany,https://doi.org/10.1002/ajb2.1122 ,,,,,NA,,,,,,,,,,,,,,,3.09,2.28,3.6,,,,,,,,,,2.74,1.95,3.53,,,,,,,,,,,,,,,,4,yes,1.5,1,1,yes,1.15,,,,,,,,,,,,yes,0.38,0.04,NA,,,,,,,15.04,1.92,NA,,,,,,,,,,,,,,,galapagos,ecuador,hervias-parejo & traveset 2018,american journal of botany,https://doi.org/10.1002/ajb2.1122 ,,,,,
NA,Malvaceae,Bastardia,Bastardia viscosa,NA,Bastardia viscosa,bisexual,hermaphrodite,,self_compatible,NA,flower,,NA,,yellow,bowl,bowl,actinomorphic,8,NA,NA,2,NA,NA,,herb,perennial,0.5,1.5,1,"NA; chamorro et al.,  2012",online: flora of north america; journal: annals of botany,NA,https://doi.org/10.1093/aob/mcs132,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,"NA; chamorro et al.,  2012",online: flora of north america; annals of botany,NA,https://doi.org/10.1093/aob/mcs132,,,,
Malvales,Fabaceae,Galactia,Galactia striata,NA,Galactia striata,bisexual,hermaphrodite,,self_compatible,NA,flower,yes,NA,,pink,papilionaceous,papilionaceous,zygomorphic,8,NA,NA,6,NA,NA,NA,vine,perennial,0.6,4,2.3,wiggins & porter ,book: flowering plants of the galapagos; online: flora of zimbabwe,NA,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,wiggins & porter ,book: flowering plants of the galapagos; online: flora of zimbabwe,NA,,,,,
Fabales,Plumbaginaceae,Plumbago,Plumbago zeylanica,NA,Plumbago scandens,bisexual,hermaphrodite,,self_compatible,NA,flower,,NA,,white,tube,tube,actinomorphic,10.2,9.8,11.2,40.2,37.7,42.4,40.2,shrub,perennial,0.1,1,0.55,"aberal et al., 2008; Chamorro et al 2012",journal: african journal of biotechnology; journal: annals of botany,NA,https://doi.org/10.1093/aob/mcs132,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,"aberal et al., 2008; Chamorro et al 2012",african journal of biotechnology; annals of botany,NA,https://doi.org/10.1093/aob/mcs132,,,,
Caryophyllales,Molluginaceae,Mollugo,Mollugo flavescens,NA,Mollugo flavescens,bisexual,hermaphrodite,,NA,NA,flower,,NA,,white,campanulate,bowl,actinomorphic,1,NA,NA,1,NA,NA,NA,herb,annual,0.1,0.4,0.25,wiggins & porter ,book: flowering plants of the galapagos; online: flora of zimbabwe,NA,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,wiggins & porter ,book: flowering plants of the galapagos; online: flora of zimbabwe,NA,,,,,
Caryophyllales,Cleomaceae,Cleome,Cleome viscosa,NA,Cleome viscosa,bisexual,androdioecious,,self_compatible,NA,flower,,NA,,yellow,campanulate,campanulate,actinomorphic,15,NA,NA,15,NA,NA,0.5,herb,annual,0.4,1.6,1,raju & rani 2016,journal: phytologya balcanica,,,,,,NA,,,,,,,,,,,,,,,8.6,6,12,,,,,,,,,,7.3,3,11,,,,,,,,,69259,6490,NA,585,118,64,NA,18,yes,,,,yes,,12,16,14,,,,,,,,120,,,,,,,,,,,,,,,,,,23.62,NA,NA,23.62,,NA,,,,,galapagos,ecuador,raju & rani 2016,phytologya balcanica,,,,,,
Brassicales,Cactaceae,Jasminocereus,Jasminocereus thouarsii,NA,Jasminocereus thouarsii,bisexual,hermaphrodite,,self_compatible,NA,flower,no,NA,,yellow,bowl,bowl,actinomorphic,70,NA,NA,10,NA,NA,,columnar cactus,perennial,3,7,5,"Jaramillo et al., 2010",journal: galapagos research,NA,,,,,fruit,100,10,,,,,0,10,,,,,,,20,NA,NA,,,,,,,,,,1.25,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red,,,39.6,,,41.4,,,0.96,,,,galapagos,ecuador,"Jaramillo et al., 2010",galapagos research,NA,,,,,
Caryophyllales,Malvaceae,Abutilon,Abutilon depauperatum,NA,Abutilon depauperatum,bisexual,hermaphrodite,,NA,NA,flower,,NA,,yellow,campanulate,campanulate,actinomorphic,15,NA,NA,15,NA,NA,,shrub,perennial,0.5,3,1,wiggins & porter ,book: flowering plants of the galapagos; online: flora of zimbabwe,NA,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,wiggins & porter ,book: flowering plants of the galapagos; online: flora of zimbabwe,NA,,,,,
Malvales,Boraginaceae,Tiquilia,Tiquilia fusca,NA,Tiquilia fusca,bisexual,hermaphrodite,,NA,NA,flower,,NA,,white,tube,tube,actinomorphic,1.5,NA,NA,1.5,NA,NA,,postrate,perennial,NA,NA,0.1,richardson 1997,journal: new england botanical club,NA,,,,,NA,,,,,,,,,,,,,,,,,,1.1,0.8,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,richardson 1997,new england botanical club,NA,,,,,
Boraginales,Amaranthaceae,Alternanthera,Alternanthera filifolia,NA,Alternanthera filifolia,bisexual,hermaphrodite,,NA,NA,flower,,NA,,white,tube,tube,actinomorphic,7.3,NA,NA,8.11,NA,NA,8.11,shrub,perennial,0.5,1.5,1,wiggins & porter ,book: flowering plants of the galapagos; online: flora of zimbabwe,NA,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,1,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,wiggins & porter ,book: flowering plants of the galapagos; online: flora of zimbabwe,NA,,,,,
Caryophyllales,Boraginaceae,Cordia,Cordia revoluta,NA,Cordia revoluta,bisexual,hermaphrodite,,self_incompatible,NA,flower,,NA,,white,tube,tube,actinomorphic,2.25,NA,NA,9.5,NA,NA,9.5,shrub,perennial,2,4,3,"chamorro et al., 2012; wiggins & porter",journal: annals of botany; book: flora of the galapagos islands,https://doi.org/10.1093/aob/mcs132,NA,,,,NA,,,,,,,,,,,,,,,2.9,NA,NA,9,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,"chamorro et al., 2012; wiggins & porter",annals of botany; book: flora of the galapagos islands,https://doi.org/10.1093/aob/mcs132,NA,,,,
Boraginales,Convolvulaceae,Ipomoea,Ipomoea linearifolia,NA,Ipomoea linearifolia,bisexual,hermaphrodite,,self_compatible,NA,flower,,NA,,white,campanulate,campanulate,actinomorphic,4.5,NA,NA,4,NA,NA,,vine,perennial,NA,NA,0.1,wiggins & porter; macmullen 2009,book: flowering plants of the galapagos; online: flora of zimbabwe; journal: botanical journal of the linnean society,NA,https://doi.org/10.1111/j.1095-8339.2009.00963.x,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,no,,1,3,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,wiggins & porter; macmullen 2009,book: flowering plants of the galapagos; online: flora of zimbabwe; botanical journal of the linnean society,NA,https://doi.org/10.1111/j.1095-8339.2009.00963.x,,,,
Solanales,Boraginaceae,Tiquilia,Tiquilia darwinii,NA,Tiquilia darwinii,bisexual,hermaphrodite,,NA,NA,flower,,NA,,white,tube,tube,actinomorphic,1.5,NA,NA,1.5,NA,NA,,postrate,perennial,NA,NA,0.1,richardson 1997,journal: new england botanical club,NA,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,richardson 1997,new england botanical club,NA,,,,,
Boraginales,Molluginaceae,Mollugo snodgrassii,Mollugo snodgrassii,NA,Mollugo snodgrassii,bisexual,hermaphrodite,,NA,NA,flower,,NA,,white,bowl,bowl,actinomorphic,8,NA,NA,2,NA,NA,,herb,perennial,0.1,0.4,0.25,mcmullen,book: flowering plants of the galapagos,NA,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,mcmullen,book: flowering plants of the galapagos,NA,,,,,
Caryophyllales,Asteraceae,Darwiniothamnus,Darwiniothamnus lancifolius,NA,Darwiniothamnus lancifolius,bisexual,hermaphrodite,,NA,NA,flower,,NA,,white and yellow,campanulate,bowl,actinomorphic,10,capitulum,capitulum,5,capitulum,capitulum,,shrub,perennial,1,3,2,alan tye 2010,journal: a journal for botanical nomenclature,https://doi.org/10.3417/2008081,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,alan tye 2010,a journal for botanical nomenclature,https://doi.org/10.3417/2008081,,,,,
Asterales,Rubiaceae,Spermacoce,Spermacoce divaricata,NA,Borreria ericaefolia,bisexual,hermaphrodite,,NA,NA,flower,,NA,,white,campanulate,campanulate,actinomorphic,1.5,NA,NA,1.5,NA,NA,,herb,perennial,0.2,1,0.6,wiggins & porter ,book: flowering plants of the galapagos,NA,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,wiggins & porter ,book: flowering plants of the galapagos,NA,,,,,
Gentianales,Aphloiaceae,Aphloia,Aphloia theiformis,NA,Aphloia theiformis,bisexual,hermaphrodite,,NA,NA,flower,,NA,,white,bowl,bowl,actinomorphic,20,NA,NA,10,NA,NA,,tree,perennial,NA,10,5,roux 2003,journal: flora of southern africa,NA,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,roux 2003,flora of southern africa,NA,,,,,
Crossosomatales,Rousseaceae,Roussea,Roussea simplex,NA,Roussea simplex,bisexual,protandrous,,self_incompatible,NA,flower,,NA,,orange,campanulate,campanulate,actinomorphic,25,,NA,25,NA,NA,,tree,perennial,4,6,5,hansen & muller 2009,journal: international journal of plant sciences,https://doi.org/10.1086/593050 ,,,,,seed,20,18,19,16,,,,,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2572,79,,,,,,,,,1,1,1,,,,,,,7,,yes,0.233,0.125,0.126,1,NA,126,,,,9.84,0.55,126,,,,,30,NA,NA,30,NA,NA,1,,,,mauritius,republic of mauritius,hansen & muller 2009,international journal of plant sciences,https://doi.org/10.1086/593050 ,,,,,
Asterales,Sapindaceae,Molinaea,Molinaea arborea,NA,Molinaea alternifolia,separated,monoecious,,NA,NA,flower,,NA,,white,bowl,bowl,actinomorphic,5.5,5,6,NA,NA,NA,,tree,perennial,NA,20,10,"lemmens et al., 2012",book: plant resources of tropical africa,NA,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mauritius,republic of mauritius,"lemmens et al., 2012",book: plant resources of tropical africa,NA,,,,,
Sapindales,Rutaceae,Toddalia,Toddalia asiatica,NA,Toddalia asiatica,separated,dioecious,,dioecious,NA,flower,,NA,,cream white,bowl,bowl,actinomorphic,4,NA,NA,1,NA,NA,,vine,perennial,2,15,8.5,NA; NA,online: african plant database; online: flora of china,NA,NA,,,,NA,,,,,,,,,,,,,,,3.5,male flower,male flower,,,,,,,,,,2,female flower,female flower,,,,,,,,,,,,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mauritius,republic of mauritius,NA; NA,online: african plant database; online:flora of china,NA,NA,,,,
Sapindales,Euphorbiaceae,Stillingia,Stillingia lineata,NA,Stillingia lineata,separated,monoecious,,NA,NA,flower,,NA,,green,tube,tube,actinomorphic,1,NA,NA,1,NA,NA,,shrub,perennial,1,10,5,baker 1877; NA,book: flora of mauritius and seychelles; online:prota4u,NA,NA,,,,NA,,,,,,,,,,,,,,,1,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,30,,,,,,,,,,,,,,,,,,,,,,capsule,,,,,,,,,,,,,,mauritius,republic of mauritius,baker 1877; NA,book: flora of mauritius and seychelles; online:prota4u,NA,NA,,,,
Malpighiales,Erythroxylaceae,Erythroxylum,Erythroxylum macrocarpum,NA,Erythroxylum macrocarpum,bisexual,distylous,,NA,NA,flower,,NA,,white,bowl,bowl,actinomorphic,6.5,NA,NA,NA,NA,NA,,shrub,perennial,3,5,4,NA; kaiser 2006,"online: endemics in mondrain ; thesis: functional integrity of plant-pollinator communities in restored habitats in mauritius, zurich university",NA,NA,,,,NA,,,,,,,,,,,,,,,5,NA,NA,2.5,1,5,2.5,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,3,,,,,,,,,,,,,10,1.3,,,,,12.5,1.35,NA,drupe,red,12.5,NA,,,,,,,,,,,mauritius,republic of mauritius,NA; kaiser 2006,"online: endemics in mondrain ; thesis: functional integrity of plant-pollinator communities in restored habitats in mauritius, zurich university",NA,NA,,,,
NA,Euphorbiaceae,Croton,Croton fothergillifolius,NA,Croton fothergillifolius,separated,monoecious,,NA,NA,flower,,NA,,white,brush,brush,actinomorphic,2.1,NA,NA,NA,NA,NA,,shrub,perennial,1,7,4,"kainulainen et al., 2017 ",journal: notes on the flora of madagascar,https://doi.org/10.15553/c2017v721a5,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mauritius,republic of mauritius,"kainulainen et al., 2017 ",notes on the flora of madagascar,https://doi.org/10.15553/c2017v721a5,,,,,
Malpighiales,Asteraceae,Psiadia,Psiadia terebinthina,NA,Psiadia terebinthina,bisexual,hermaphrodite,,NA,NA,capitulum,,NA,,white,tube,tube,actinomorphic,2,NA,NA,3,NA,NA,NA,shrub,perennial,NA,2,1,scott 1991,journal: kew bulletin volume 46 issue 2,https://doi.org/10.2307/4110609 ,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,capitulum,,,,,,,,,,,,,,,,,,,,,,,,,,,,flowers_per_capitulum,flowers_per_capitulum,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mauritius,republic of mauritius,scott 1991,kew bulletin volume 46 issue 2,https://doi.org/10.2307/4110609 ,,,,,
